created_at,clean_text,"Price_label(0,1)"
2010-08-25,vaarwel tesla roadster en welkom model aca acarock tesla roadster model,1
2010-08-25,tesla model longer recommend say consumer report,1
2010-08-25,impossible go bankrupt much cash generation tslaq tesla make b free cash flow six month al,1
2010-08-26,vi har gjennomf nok en stor vintertest turen gikk til h yfjellet audi e tron qua,-1
2010-08-27,nan,1
2010-08-27,polestar unveil -PRON- electric response tesla model kirstenkorosec,1
2010-08-27,-PRON- get american starman tesla notaflamethrower,1
2010-08-27,look future car polestar ev put tesla model notice,1
2010-08-27,tesla pre roka po eo sa isporukama modela u kinu,1
2010-08-27,polestar unveil -PRON- electric response tesla model,1
2010-08-30,past password change password form -PRON- tesla make -PRON- way harder use password manager,-1
2010-08-30,lead company automotive industry include gather mwc explore convergen,-1
2010-08-30,notapositivatn tesla quevedo una gar funa orgullosa de sus ra ce ha lanzado al mercado una colecci n de cartera,-1
2010-08-31,un ni colombiano de os dice que pablo escobar es su dolo toda la far ndula se rasga las vestidura qu,-1
2010-08-31,guy,-1
2010-09-01,q tesla model,1
2010-09-01,u security exchange commission seek contempt charge tesla elon musk say tweet violate deal,1
2010-09-01,retrouvez l dito de dan sur le mod le tesla de,1
2010-09-02,model get bad repocard lead drop tesla stock,1
2010-09-03,british parliament busy dither brexit dutch build electric container barge call,-1
2010-09-08,tesla vs lovecraft crimsonland crimsonland,1
2010-09-09,tesla roll model china ahead schedule sale push,-1
2010-09-09,tesla never able afford one even -PRON- eventually come -PRON- country,-1
2010-09-10,polestar google power electric tesla competitor,1
2010-09-13,british parliament busy dither brexit dutch build electric container barge call,-1
2010-09-14,guy touch hit curb -PRON- model break not wheel also axle suspension,1
2010-09-16,tesla chef elon musk provozieerneut die sec sonja kroll,1
2010-09-16,felon arrest pursuit steal tesla battery die watt,1
2010-09-21,really impressive efficiency advantage especially -PRON- consider model x big,-1
2010-09-22,bir kadifeburun u ak dk seveceksiniz diye g ne li g nlerde ne kadar isterse kadar ar karacak,-1
2010-09-23,,-1
2010-09-27,mokumocuda nvidia dgx station nvlink tesla v,-1
2010-09-28,tesla electric car burn hour crash,-1
2010-09-29,question tesla model order elon musk say tesla model suv sell even good yo,-1
2010-09-30,l organisme regulador de la borsa del eua demana la detenci del fundador de tesla per un altre missatge twitter,-1
2010-10-01,extraordin ria entrevista de nikola tesla escondida por anos,1
2010-10-04,engadget,1
2010-10-05,first model delivery today geneva great team happy customer,1
2010-10-06,muchas de esta iniciativas como los avance de tesla fueron siguen siendo frustrado donde estar cuan lim,1
2010-10-08,seht euch lieber schnell die video bevor sie gel scht werden die sesamstra e ist nicht happy mit dem randalie,1
2010-10-08,viele fragezeichen rund um ein ausgebrannte model x,1
2010-10-08,today -PRON- welcome awesome young woman tesla learn career engineering manufacture h,1
2010-10-11,tesla bient en faillite elon musk se marre,-1
2010-10-11,tesla ceo elon musk tease something mysterious happen thursday model unveil electrek,-1
2010-10-15,tesla baute auto wird aber etwa k herstellen,1
2010-10-15,elon musk run regulator executive exit make -PRON- certain tesla pay million,1
2010-10-18,nan,-1
2010-10-18,elon musk accus outrage au tribunal par la sec en remet une couche apr afp et ap tesla,-1
2010-10-18,tesla en bourse musk accus de ne pas respecter un accord via,-1
2010-10-19,-PRON- feel way positive tesla survey result,-1
2010-10-19,buy use prius exist car good earth fyi,-1
2010-10-19,volvo polestar join electric car race rival tesla,-1
2010-10-19,tesla roll model china ahead schedule sale push,-1
2010-10-19,polestar reveal tesla model rival hp km range,-1
2010-10-19,used market tesla roadster,-1
2010-10-20,enough money gpu hashcracker spin one aw guess every character upper low number symbol,1
2010-10-22,tesla stop -PRON- avoid accident,1
2010-10-22,nan,1
2010-10-22,sign receive recording -PRON- webinar get start apis -PRON- use tesla bmw product strate,1
2010-10-26,decade early adopter territory robot vacuum good enough handle almost mess -PRON- time tur,-1
2010-10-26,musk twitterte dass tesla dies jahr auto produzieren werde daf r r gt ihn die b rsenaufsicht,-1
2010-10-26,con de tesla elon musk revela el significado del logotipo,-1
2010-10-28,volvo unveil polestar electric car tesla model competitor,1
2010-10-28,tesla incredible efficiency lead become clear range test audi e tron jaguar pace electrek,1
2010-10-28,zero new electric motorcycle justify comparison tesla via,1
2010-10-29,polestar google power electric tesla competitor,-1
2010-10-29,volvo unveil tesla model rival polestar,-1
2010-11-03,lead tesla,-1
2010-11-04,tesla begin model delivery china ahead schedule cnbc via,1
2010-11-04,bbc news tesla elon musk may contempt tweet move security,1
2010-11-05,cuidado con alguno problemilla,-1
2010-11-05,nan,-1
2010-11-05,-PRON- deb estar vacilando salen cientos de noticia negativas de marcas generalist,-1
2010-11-05,luego decir que esta noticia la ponen aposta para ir contra la marca supongo,-1
2010-11-05,luke likeforlik likesforfollow likesforlik like jennie jensenackle horse horsesofinstagram,-1
2010-11-08,se busca este vago por haber dejado cerca de mill n de bachiller pobre sin acceso universidade p blicas x e,-1
2010-11-08,hope -PRON- take away -PRON- phone tesla bull feed elon musk tweet say -PRON- cost investor money ht,-1
2010-11-08,first solution -PRON- build gigabyte solar factory generate free electricity like tesla u,-1
2010-11-11,u security exchange commission seek contempt charge tesla elon musk say tweet violate deal,1
2010-11-11,tesla model performance ili bmw via gume,1
2010-11-11,statue nikola tesla silicon valley transmit free wi fi,1
2010-11-15,aktuelle model x audi e tron und jaguar pace -PRON- vergleich tesla schl gt audi und jag,-1
2010-11-15,nikola tesla -PRON- laboratory,-1
2010-11-15,schade um den nicht sehr umweltgerecht entsorgten tesla aber dennoch das foto ist der hammer es en,-1
2010-11-17,newsletter chinese tesla motor join -PRON- stage nordicevs,-1
2010-11-19,-PRON- model continue good product kind ever purchase,-1
2010-11-22,tesla stock fall sec ask couto find elon musk contempt,-1
2010-11-24,polestar arrive ready fight tesla model new electric carmaker reveal -PRON- first volume model,-1
2010-11-24,-PRON- transportation system due massive disruption -PRON- come form self drive car,-1
2010-11-26,dazeinfo elon musk unique love hate relationship twitter dazeinfo elonmusk tesla sec,-1
2010-11-26,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2010-11-29,nice find go brand new release tesla ev,-1
2010-11-29,officially tesla fan,-1
2010-11-30,nan,-1
2010-12-03,nan,-1
2010-12-06,bitte korrigieeure grafiken es hilft nicht wenn ihr die kor,1
2010-12-07,elon musk tesla solar roof cheap regular roof infinity warranty,1
2010-12-07,vous avez couvecette semaine le hub tesla ecouen dan lequel engie ineo forme les futur professionnnel des,1
2010-12-08,elon musk podr ser detenido por un tuit ilegal sobre tesla,-1
2010-12-09,would decide buy tesla would choose,-1
2010-12-09,tesla start model deliveri china,-1
2010-12-09,-PRON- would love build feature get video tesla -PRON- cloud idea,-1
2010-12-10,comingup catch original founder martin eberhard conversation -PRON- ear,-1
2010-12-15,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2010-12-16,tesla fuze und jabra pr sentieren den arbeitsplatz der zukunft,1
2010-12-16,tesla ceo elon musk tease something mysterious happen thursday model unveil electrek,1
2010-12-16,amazon target tesla stake rivian,1
2010-12-16,five highly anticipate electric vehicle release none tesla marketwatch,1
2010-12-16,volvo polestar electric luxury car price tesla model bloomberg,1
2010-12-16,volvo polestar ev sweden answer tesla model business insider,1
2010-12-16,polestar google power electric tesla competitor verge,1
2010-12-16,volvo unveil polestar electric car tesla model competitor electrek,1
2010-12-16,musk tease tesla news cryptic tweet contempt claim,1
2010-12-17,invest -PRON- share provide company almost benefit -PRON- provide -PRON- capital,1
2010-12-20,nan,1
2010-12-20,nikola tesla -PRON- laboratory,1
2010-12-20,british parliament busy dither brexit dutch build electric container barge call,1
2010-12-20,enough money gpu hashcracker spin one aw guess every character upper low number symbol,1
2010-12-21,statue nikola tesla silicon valley transmit free wi fi,1
2010-12-21,elon musk land -PRON- hot water tweet tesla lead drop stock price willi,1
2010-12-21,gostaria muito de ter um carro da tesla l gico aqui brasil absurdo j que tem que importar k pra ter um modelinho simprao,1
2010-12-22,-PRON- get american starman tesla notaflamethrower,1
2010-12-27,tesla model lose recommend status consumer report,1
2010-12-28,tesla uv amazon,-1
2010-12-29,,-1
2010-12-31,let -PRON- stay sad long,-1
2010-12-31,-PRON- feel sting -PRON- tear check new afor curse lallorona,-1
2010-12-31,-PRON- keep censor -PRON- cool meme,-1
2010-12-31,stop censor science,-1
2010-12-31,wish -PRON- never meet,-1
2010-12-31,break kepa arrizabalaga confirm -PRON- select -PRON- staagainst tottenham tonight,-1
2010-12-31,sebuah keluarga palestin telah dihalau drpd rumah mereka selepas ianya diserahkan kpd keluarga berbangsa israel,-1
2010-12-31,prosecution receive order discontinue case rule phlaw,-1
2011-01-03,today top business headline high level trade talk continue washington kraft heinz reveal sec,-1
2011-01-04,nan,-1
2011-01-04,nan,-1
2011-01-04,welcome model hong kong public display tesla model,-1
2011-01-05,elon musk et le tweet qui risque de lui co ter la te de tesla jdq,-1
2011-01-06,light really tesla light bring logic wisdom nat via,-1
2011-01-06,tesla model rank satisfying car porsche corvette,-1
2011-01-07,uno de los principal vendedore de bmw en estado unido admite que el tesla model est golpeando sus venta https,1
2011-01-07,picture mr tesla model delivery ceremony china tsla tesla china model teslach,1
2011-01-07,nan,1
2011-01-07,nan,1
2011-01-10,reacci n de elon musk el sec se olvid de leer la transcripci n del balance econ mico de tesla que incia clara,-1
2011-01-10,musk dice que cuando presentaron el balance econ mico hace una semanas tesla estim la producci n,-1
2011-01-10,elon musk en problema tra un tuit que podr costarle muy caro,-1
2011-01-11,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,1
2011-01-12,zubeh r aus dem tesla tune katalog euer hp von der,-1
2011-01-13,musk game chicken sec look likely turn death match,-1
2011-01-18,tesla hisseleri sec unutkanl yla,-1
2011-01-18,aussie battery arizona excess solar orkney wind hydrogen scheme among dozen innovatio,-1
2011-01-20,leider nicht immer ich kenne einen ex tesla kunden der nach endlosen reparaturv,1
2011-01-21,look forward receive -PRON- first delivery back gateway accompany -PRON- pend delivery tesla pow,1
2011-01-21,volvo polestar join electric car race rival tesla topnew,1
2011-01-21,volvo polestar join electric car race rival tesla,1
2011-01-21,tesla roll model china ahead schedule sale push topnew,1
2011-01-21,tesla roll model china ahead schedule sale push,1
2011-01-21,ne tentez pas chez vous ceci est du tease de professionnel tesla,1
2011-01-21,pueden creer que esta vaga la que solo le alcanzaba para el bus porque los taxi eran caro hoy en maneja un te,1
2011-01-21,statue nikola tesla silicon valley transmit free wi fi,1
2011-01-24,order -PRON- tesla mid range sweden,1
2011-01-24,tesla elon musk may contempt tweet avinaccountant watfordaccountant,1
2011-01-24,tesla update -PRON- wait famode,1
2011-01-26,course -PRON- tesla also say solar shingle k model battery swap super charger grid,1
2011-01-26,-PRON- talk tesla dismal staff safety record fremont coverup,1
2011-01-26,tesla stock would crater period -PRON- salesman harbinger capital raise without -PRON-,1
2011-01-26,-PRON- take time reflect hat tesla -PRON- not -PRON- -PRON- not -PRON- l,1
2011-01-26,tesla specifically inventory vehicle well excess,1
2011-01-26,consumer report pull -PRON- tesla model recommendation,1
2011-01-26,tesla model brand model,1
2011-01-26,amazon back rivian tesla rival behind new electric truck suv,1
2011-01-26,amazon back rivian tesla rival behind new electric truck suv,1
2011-01-26,consumer report pull -PRON- tesla model recommendation,1
2011-01-27,nan,-1
2011-01-27,c est un peu vrai et je vai enfoncer le clou en disant que c est une r gle pour plaire des public de,-1
2011-01-28,today -PRON- welcome awesome young woman tesla learn career engineering manufacture h,-1
2011-02-02,sec ask judge hold ceo contempt disclosure inaccurate information accounting,1
2011-02-02,tesla driver die fiery florida crash car battery still burn day later,1
2011-02-02,certo per favore fare una legislazione en parlaman,1
2011-02-03,nan,1
2011-02-03,mokumocuda nvidia dgx station nvlink tesla v,1
2011-02-03,polestar vs tesla model jaguar pace merced eqc -PRON- stack roadshow,1
2011-02-04,picture nikola tesla -PRON- lab colorado spring casually read volt electricity fly,1
2011-02-04,tesla heeft toch inderdaad gratis energie uitgevonden welk idee onmiddellijk verdonkeremaand werd wan,1
2011-02-04,el presente es vuestro pero el futuro es qu quiso decir nikola tesla con esta prof ticas palabra la tor,1
2011-02-07,pourquoi le nouveau tweet elon musk pourrait lui co ter son tr ne chez tesla,1
2011-02-10,stil black female,-1
2011-02-10,ge en l nyada elektrikli ara sit lm ara ile en ok elektrikli ara sit lan lke tesla ise,-1
2011-02-10,sec forget read tesla earning transcript clearly state k k embarrassing,-1
2011-02-11,today -PRON- welcome awesome young woman tesla learn career engineering manufacture h,-1
2011-02-11,driver tesla model later identify omar awan,-1
2011-02-11,nikola tesla -PRON- laboratory,-1
2011-02-15,na tesla biedt ook bmw een elektrische auto meet geheel vegan interieur ontwikkel thefutureisvegan,-1
2011-02-15,tesla roll model china ahead schedule sale push,-1
2011-02-17,tesla investor sue sec enrich short,1
2011-02-17,bmw daimler invest bn mobility joint venture new job pool -PRON- effort,1
2011-02-17,really impressive efficiency advantage especially -PRON- consider model x big,1
2011-02-18,tesla mri imaging take neurological disease research new territory,-1
2011-02-23,elon musk hold contempt tweet tesla without approval sec say abc news australian bro,-1
2011-02-23,model lose cr recommendation reliability issue find issue -PRON- exclusive reliability,-1
2011-02-23,next time -PRON- hear john kasich brag -PRON- budget hawk remember -PRON- part gift ohioan leavi,-1
2011-02-25,wo sind die skier gibsn tr ger f rs dach model,-1
2011-02-25,sec forget read tesla earning transcript clearly state k k embarrassing,-1
2011-02-25,ironically sec statement filing seem exactly,-1
2011-02-28,yeah may total,1
2011-02-28,new pure electric car registration california outnumber hybrid first time last year thank introduct,1
2011-02-28,polestar price beat tesla good sell model hell lot nice tslaq,1
2011-02-28,tesla musk nouveau poursuivi par le gendarme boursier ricain par via,1
2011-03-01,british parliament busy dither brexit dutch build electric container barge call,-1
2011-03-02,tesla elon musk may contempt tweet bbc news,-1
2011-03-03,le patron de tesla nouveau dan le viseur de la sec,1
2011-03-03,tesla ai chip claim twenty time faster nvidia,1
2011-03-04,maar welke kleur dat de dure tesla vvd de nep groenlink volvo v,1
2011-03-07,tesla en bourse musk accus de ne pas respecter un accord via,-1
2011-03-07,elon musk accus outrage au tribunal par la sec en remet une couche apr afp et ap tesla,-1
2011-03-09,-PRON- lyft ride tesla know door open driver open -PRON- -PRON- never hat elon,-1
2011-03-10,cesvimap muestra el crash test delantero del tesla model v,-1
2011-03-10,tesla board member begin worry scratch beyond worry panic abo,-1
2011-03-10,metre seem pretty economic,-1
2011-03-11,polestar ev put tesla model notice aim explicitly tesla model look like -PRON- -PRON-,1
2011-03-11,polestar ev put tesla model notice aim explicitly tesla model look like -PRON- -PRON-,1
2011-03-11,volvo polestar join electric car race rival tesla via,1
2011-03-14,nikola tesla -PRON- laboratory,-1
2011-03-15,imagine medium tesla bmw recall million vehicle hood fire least tragic death,-1
2011-03-15,eigentlich muss elon musk jeden post den sozialen medien ber tesla status den kapitalm rkten absegnen lasse,-1
2011-03-16,ge en l nyada elektrikli ara sit lm ara ile en ok elektrikli ara sit lan lke tesla ise,1
2011-03-16,body count connect dnc debbie wasserman schultz hillary clinton go omar awan debbie wass,1
2011-03-16,dus daarom ook zie ik om mij heen buurtbewoner een tesla bestellen niet doen men,1
2011-03-16,disc -PRON- say wheelwhore moondiscs tesla ev,1
2011-03-17,break omar awan debbie wasserman schultz dnc computer -PRON- guy kill suspicious car accident,-1
2011-03-17,nan,-1
2011-03-17,nan,-1
2011-03-17,el maletero tiene una capacidad de hasta litro cu ntas maleta te llevo taxi tesla taxitesla teslatax,-1
2011-03-18,para lo que dicen que nunca critico tesla,-1
2011-03-21,hey look buy tesla model project anyone one lay around ask tell,1
2011-03-21,tesla tesla,1
2011-03-22,engadget,-1
2011-03-22,volvo polestar join electric car race rival tesla news reuter,-1
2011-03-22,nan,-1
2011-03-23,would love see accept btc bnb cz payment would progressive visionary,1
2011-03-23,,1
2011-03-23,la francesa suez eval embargar activos del estado para cobrar sentencia del ciadi por usd el ceo de tesla nuevament,1
2011-03-25,tesla model geely,1
2011-03-28,tesla la sec accusa musk non ha rispettato accordo con la giustizia,-1
2011-03-28,body count connect dnc debbie wasserman schultz hillary clinton go omar awan debbie wass,-1
2011-03-28,cuando nikola tesla invent la l mpara de plasma imaginaba estos peque os cient fico indagando en sus descubrimi,-1
2011-03-28,nikola tesla -PRON- laboratory,-1
2011-03-29,nan,-1
2011-03-29,-PRON- road trip like mile km road trip dm mission make,-1
2011-03-29,today -PRON- welcome awesome young woman tesla learn career engineering manufacture h,-1
2011-03-30,motorshoweast lead motorshow cambridge east broug,1
2011-03-30,tesla burst flame fatal florida crash catch fire three time tow yard due via,1
2011-03-31,-PRON- thought electric motorbike zeromotorcycle lightningmotor tesl,-1
2011-04-01,aim high mate like company,1
2011-04-01,polestar google power electric tesla competitor,1
2011-04-01,nan,1
2011-04-05,gene munster faz todo sentido que apple compre tesla,1
2011-04-05,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,1
2011-04-06,elon musk drive legal backlash tesla car production tweet,1
2011-04-06,model gigazine,1
2011-04-06,federal judge give musk march answer contempt claim link,1
2011-04-07,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2011-04-07,-PRON- get american starman tesla notaflamethrower,-1
2011-04-08,tesla car load sf europe,1
2011-04-11,zero motorcycle wird von beobachtern oft al tesla der motorradwelt bezeichnet und hat nun e,1
2011-04-11,lmaoo wedding ke kill -PRON- na roll want oh -PRON- tesla,1
2011-04-12,nikola tesla -PRON- laboratory,-1
2011-04-12,rein iconic executive tough task late legal action u security regulator te,-1
2011-04-12,late legal action sec tesla elon musk highlight challenge rein wealthy ce,-1
2011-04-13,seguimos trabajando en el tulo os preocup,-1
2011-04-13,ja je zou er kortsluit van krijgen en dan ook nog weten dat tesla ook rijden op grijze stroom wie belazerd,-1
2011-04-13,people also want tesla season ticket -PRON- favorite sport team personally alway,-1
2011-04-13,clearly never blue tesla,-1
2011-04-13,someone trade -PRON- -PRON- jeep,-1
2011-04-14,nikola tesla -PRON- laboratory,-1
2011-04-18,mokumocuda nvidia dgx station nvlink tesla v,-1
2011-04-18,nikola tesla -PRON- laboratory,-1
2011-04-20,nan,1
2011-04-25,nan,1
2011-04-26,-PRON- get navigate autopilot europe news stillwait stillonearth,1
2011-04-27,tesla electriccar could potentially cost k year accord price point everybody would,1
2011-04-27,und die n chsten model werden schon angeliefert,1
2011-04-27,focus online berichtet ber unseren verbrauchst vor audi -PRON- focus das passieauch nicht alle tage zeiten,1
2011-04-27,liebe neue tesla model besitzer der schweiz wenn ihr hilfe ben tigt bei der bedienung eure neuen fahrzeug,1
2011-04-29,uhm er zijn wel al tesla die op waterstof rijden ttz de batterijen worden al rijdend opgeladen meet wat,1
2011-05-02,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2011-05-02,nikola tesla -PRON- laboratory,-1
2011-05-02,believe blank check good anybody case see g,-1
2011-05-04,prevent tesla freely business nys hurt people ny wish dri,-1
2011-05-04,elonmusk tesla tweet put ceo role risk,-1
2011-05-04,tesla make want know -PRON- build tesla watch tesla go frame finish socia,-1
2011-05-05,scotch price tesla macallan bottle -PRON-,1
2011-05-05,tesla customer describe madden problem return refund,1
2011-05-06,founder tell founder paper money doom -PRON- hol,-1
2011-05-06,que tu -PRON- llame ignorante para mi es un halago tu ser capaz de llamar,-1
2011-05-06,europe carmaker overwhelmingly obtain battery cell asian producer,-1
2011-05-09,tesla la sec accusa ancora musk violato accordo con un tweet,-1
2011-05-09,edison ampul buldu unda tesla ampul laboratuvar ortam nda kullan yordu zaten,-1
2011-05-10,tesla release fully self drive car tesla selfdrivingcar,1
2011-05-11,-PRON- like development shipping -PRON- also integrate automatical smab l tm processing autonomous platform,-1
2011-05-11,lead company automotive industry include gather mwc explore,-1
2011-05-12,nan,1
2011-05-12,nan,1
2011-05-17,au volant une tesla,1
2011-05-18,base california activision adobe alphabet apple caterpillar chevron cisco disney ebay electronic art facebook fi,1
2011-05-18,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,1
2011-05-19,elon musk tweet may cost -PRON- job tesla ceo,-1
2011-05-19,hope -PRON- take away -PRON- phone tesla bull feed elon musk tweet say -PRON- cost investor money ht,-1
2011-05-24,-PRON- time week bbc technology roundup week include car dog mode keep pet cool,1
2011-05-25,break new reveal firm first mass market ev due arrive next year,-1
2011-05-25,nan,-1
2011-05-26,jaguar audi year really would not consider tesla one major seriously,-1
2011-06-01,nan,-1
2011-06-02,almost really wood,-1
2011-06-02,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,-1
2011-06-03,sec forget read tesla earning transcript clearly state k k embarrassing,1
2011-06-03,absurd -PRON- obviously tesla good car criticism ar,1
2011-06-03,-PRON- birthday cake tesla space roadster tesla,1
2011-06-03,ft myer spring training wknd come across supercharger -PRON- look pretty new awesome see,1
2011-06-03,unique tesla -PRON- playbook shoseller -PRON- constantly push present uniformed regulator,1
2011-06-06,elon musk aprende piden su detenci n por este tuit sobre tesla,-1
2011-06-06,arch rival frenemie join hand partner mobility unthinkable uber waymo tesla,-1
2011-06-07,el taxi ese servicio antiguo de la edad medium teslamotor tesla mejorentaxi taxi taxienlucha taxista eltaxi,-1
2011-06-08,nan,-1
2011-06-08,elon musk tesla tweet put ceo role risk forbesbusiness ceo,-1
2011-06-09,tesla chef elon musk verspricht echter autopliot kommt dies jahr,-1
2011-06-10,ich mag den ja sich aber ich finde der hat ein wenig den merced effekt der letzten generation das fe,-1
2011-06-10,long arm law grab -PRON- throat greif say tesla not respond email phone call,-1
2011-06-10,tesla customer ah -PRON- mean victim cough,-1
2011-06-10,tesla driver die fiery florida crash car battery still burn day later,-1
2011-06-13,det er interessant nok tesla kunder skal grave dybt en meddelelse til virksomheden investorer f bar,1
2011-06-13,n r man skal beskrive ungdomman morfar,1
2011-06-13,polestar vs tesla model jaguar pace merced eqc -PRON- stack roadshow,1
2011-06-13,british parliament busy dither brexit dutch build electric container barge call,1
2011-06-13,tesla tweet non autorizzato sec chiede di accusare musk per violazione accordo titoli crollano del,1
2011-06-14,british parliament busy dither brexit dutch build electric container barge call,1
2011-06-14,tesla stop -PRON- avoid accident,1
2011-06-14,driver tesla model later identify omar awan,1
2011-06-15,-PRON- base automotive company tesla open dealership -PRON- car budapest electric car specialist,1
2011-06-15,british parliament busy dither brexit dutch build electric container barge call,1
2011-06-16,elon musk tweet tease tesla news barely day -PRON- social medium behavior bring -PRON-,1
2011-06-16,nan,1
2011-06-16,nouveaux boire elon musk avec le gendarme boursier ricain via,1
2011-06-16,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,1
2011-06-16,nan,1
2011-06-20,first electric car tesla edison,-1
2011-06-21,-PRON- -PRON- lazy investing make quick money ruin planet cash,1
2011-06-22,tesla ceo say interview week btc quite brilliant far good way transfer valu,1
2011-06-22,-PRON- lyft ride tesla know door open driver open -PRON- -PRON- never hat elon,1
2011-06-22,nan,1
2011-06-23,cd cda weight different width tyre motor design e,1
2011-06-24,tesla model une association de consommateur conseille l achat,-1
2011-06-27,elektro lkw mit einer megawattstunde nikola geht direkt auf tesla los,-1
2011-06-27,settlement -PRON- say pre approval need thing say,-1
2011-06-27,twitterpolice sec attempt ban company use twitter even answer,-1
2011-06-27,sec issue pre approve say conference call,-1
2011-06-30,kolaroitu tesla syttyi tuleen n tesla kommentoi olemme eritt surullisia kuullessamme onnettomuudesta,-1
2011-06-30,sec ask judge hold tesla ceo elon musk contempt violate deal cite musk inaccurate feb tweet,-1
2011-07-06,-PRON- understanding externally tesla hold accountable internally -PRON- sue,-1
2011-07-06,sec forget read tesla earning transcript clearly state k k embarrassing,-1
2011-07-07,february musk tweet tesla make car make around k technew,1
2011-07-08,today -PRON- welcome awesome young woman tesla learn career engineering manufacture h,1
2011-07-08,introduce dog mode set cabin temperature keep -PRON- dog comfortable let passersby know -PRON- need worry,1
2011-07-08,say freak nice awesome meme elon tesla gigafactory china one report live video,1
2011-07-11,tesla stop -PRON- avoid accident,-1
2011-07-12,year company found tesla lexus hyundai ferrari toyota volkswagen nissan,1
2011-07-12,kierowca tesli sp ywcem po wypadku bo nie wysun si klamki film teslamodel tesla,1
